proxy,response,loginc,logarea,dwt,psu,stratum
44259.9,0,,,838.9171,30,1
44259.9,0,,,838.9171,30,1
43541,0,,,147.4621,30,1
44259.9,1,7.549609,4.41884,838.9171,30,1
43361.14,0,,,1615.702,30,1
43541,0,,,147.4621,30,1
44960.77,0,,,1615.702,30,1
46469.29,0,,,1615.702,30,1
44624,0,,,147.4621,30,1
42532,0,,,147.4621,30,1
41780.94,1,8.160519,4.564348,838.9171,30,1
44624,0,,,147.4621,30,1
41272.16,1,7.047517,4.49981,838.9171,30,1
48467.13,1,7.313221,4.382027,1615.702,30,1
44660.07,0,,,1615.702,30,1
46469.29,0,,,1615.702,30,1
43748.38,0,,,1615.702,30,1
48425.15,1,7.313221,4.867535,1615.702,30,1
43541,1,6.721426,3.871201,147.4621,30,1
42669.55,0,,,1615.702,30,1
42532.13,0,,,1615.702,30,1
51688.36,0,,,1615.702,30,1
51802.21,0,,,1615.702,30,1
46588.29,1,8.160519,4.564348,1615.702,30,1
43892,0,,,147.4621,30,1
46263.72,1,7.824046,4.787492,1615.702,30,1
43892,0,,,147.4621,30,1
48617.36,0,,,1615.702,30,1
48617.36,1,8.242756,4.787492,1615.702,30,1
47397.77,0,,,1615.702,30,1
46365.64,0,,,1615.702,30,1
41272,0,,,147.4621,30,1
46138,0,,,147.4621,30,1
46177,1,7.495542,4.49981,147.4621,30,1
44884,0,,,147.4621,30,1
46588.29,0,,,1615.702,30,1
41244,0,,,147.4621,30,1
48617.36,1,7.495542,4.70048,1615.702,30,1
51688.36,0,,,1615.702,30,1
47397.77,1,8.517193,4.941642,1615.702,30,1
46469.29,0,,,1615.702,30,1
44762,1,6.579251,3.73767,147.4621,30,1
44691.02,0,,,838.9171,30,1
44623.93,1,7.600903,4.248495,1615.702,30,1
48617.36,0,,,1615.702,30,1
46122.27,0,,,1615.702,30,1
47254.12,0,,,1615.702,30,1
48617.36,0,,,1615.702,30,1
44660.07,0,,,1615.702,30,1
44464.19,0,,,1615.702,30,1
42019.96,1,7.649693,4.65396,1615.702,30,1
44762.26,1,7.696213,4.219508,1615.702,30,1
42669.55,0,,,1615.702,30,1
47381.39,0,,,1615.702,30,1
44420.54,1,7.438384,5.010635,1615.702,30,1
